Dataset,Ikan,Jam,Bagian,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,Fitur_Terakhir
train,ikan01,07,insang,0.0,0.0,-0.156576,-0.031059,3.048964,-0.066633,0.0,-0.156825,-0.083845,0.0,-0.186101,-0.01684,-0.129309,-0.257333,0.0,0.0,-0.068788,-0.141796,-0.009044,0.0,-0.03259,-0.119156,-0.146613,-0.152419,-0.012248,-0.153359,0.0,-0.135365,-0.005006,0.377513,-0.113091,-0.012757,-0.007875,-0.083206,-0.040172,-0.002737,0.0,-0.217067,-0.100605,0.272976,-0.289281,0.0,0.0,-0.055418,-0.011636,-0.301715,-0.115498,-0.143339,-0.00657,-0.080477,0.0
train,ikan01,07,insang,0.0,0.0,-0.158644,-0.03123,3.074842,-0.067416,0.0,-0.158173,-0.081761,0.0,-0.189278,-0.017552,-0.129564,-0.256131,0.0,0.0,-0.068539,-0.142717,-0.009159,0.0,-0.03378,-0.12466,-0.146037,-0.151363,-0.011146,-0.152239,0.0,-0.136188,-0.005451,0.375736,-0.112382,-0.012623,-0.006405,-0.081984,-0.040522,-0.003487,0.0,-0.218334,-0.103433,0.274459,-0.28868,0.0,0.0,-0.057274,-0.011225,-0.301688,-0.111798,-0.143884,-0.006923,-0.075287,0.0
train,ikan01,07,insang,0.0,0.0,-0.153284,-0.030116,3.055993,-0.068855,0.0,-0.154942,-0.074606,0.0,-0.182779,-0.017726,-0.129009,-0.262684,0.0,0.0,-0.068491,-0.142352,-0.010839,0.0,-0.034468,-0.123087,-0.145862,-0.154722,-0.011541,-0.152784,0.0,-0.137364,-0.005822,0.371734,-0.111745,-0.013573,-0.009947,-0.077433,-0.03709,-0.004185,0.0,-0.217418,-0.10066,0.269133,-0.287131,0.0,0.0,-0.057913,-0.011457,-0.303041,-0.110742,-0.142679,-0.005008,-0.083248,0.0
train,ikan01,07,insang,0.0,0.0,-0.15793,-0.031364,3.075857,-0.06768,0.0,-0.158205,-0.082199,0.0,-0.189405,-0.017662,-0.129458,-0.255848,0.0,0.0,-0.068406,-0.142745,-0.009325,0.0,-0.034006,-0.125243,-0.145848,-0.151007,-0.011227,-0.152219,0.0,-0.137064,-0.005644,0.374224,-0.112803,-0.012836,-0.006499,-0.081879,-0.040707,-0.003579,0.0,-0.219118,-0.103277,0.274806,-0.288734,0.0,0.0,-0.057864,-0.011339,-0.301497,-0.11117,-0.144136,-0.006947,-0.073681,0.0
train,ikan01,07,insang,0.0,0.0,-0.147728,-0.037768,3.03593,-0.072134,0.0,-0.158699,-0.090131,0.0,-0.181271,-0.022839,-0.134395,-0.264248,0.0,0.0,-0.07373,-0.138898,-0.013681,-0.005408,-0.037045,-0.124783,-0.149977,-0.168235,-0.02245,-0.154559,0.0,-0.140218,-0.010559,0.349211,-0.118693,-0.029245,-0.010034,-0.083568,-0.043183,-0.003035,0.0,-0.212938,-0.102418,0.309535,-0.291058,0.0,0.0,-0.067836,-0.014273,-0.303201,-0.109193,-0.14074,-0.014448,-0.070091,0.0
train,ikan01,07,insang,0.0,0.0,-0.159161,-0.036978,3.052842,-0.072126,0.0,-0.15985,-0.086762,0.0,-0.188279,-0.023224,-0.13985,-0.261242,0.0,0.0,-0.069261,-0.143101,-0.014046,-0.001352,-0.035923,-0.1247,-0.148527,-0.165724,-0.020742,-0.153847,0.0,-0.15018,-0.00807,0.347141,-0.116173,-0.025885,-0.007544,-0.085129,-0.040304,-0.001644,0.0,-0.214583,-0.093753,0.300325,-0.292731,0.0,0.0,-0.069015,-0.017427,-0.302158,-0.113306,-0.142234,-0.011058,-0.064825,0.0
train,ikan01,09,insang,0.0,0.0,-0.156576,-0.031059,3.048964,-0.066633,0.0,-0.156825,-0.083845,0.0,-0.186101,-0.01684,-0.129309,-0.257333,0.0,0.0,-0.068788,-0.141796,-0.009044,0.0,-0.03259,-0.119156,-0.146613,-0.152419,-0.012248,-0.153359,0.0,-0.135365,-0.005006,0.377513,-0.113091,-0.012757,-0.007875,-0.083206,-0.040172,-0.002737,0.0,-0.217067,-0.100605,0.272976,-0.289281,0.0,0.0,-0.055418,-0.011636,-0.301715,-0.115498,-0.143339,-0.00657,-0.080477,0.0
train,ikan01,09,insang,0.0,0.0,-0.158644,-0.03123,3.074842,-0.067416,0.0,-0.158173,-0.081761,0.0,-0.189278,-0.017552,-0.129564,-0.256131,0.0,0.0,-0.068539,-0.142717,-0.009159,0.0,-0.03378,-0.12466,-0.146037,-0.151363,-0.011146,-0.152239,0.0,-0.136188,-0.005451,0.375736,-0.112382,-0.012623,-0.006405,-0.081984,-0.040522,-0.003487,0.0,-0.218334,-0.103433,0.274459,-0.28868,0.0,0.0,-0.057274,-0.011225,-0.301688,-0.111798,-0.143884,-0.006923,-0.075287,0.0
train,ikan01,09,insang,0.0,0.0,-0.153284,-0.030116,3.055993,-0.068855,0.0,-0.154942,-0.074606,0.0,-0.182779,-0.017726,-0.129009,-0.262684,0.0,0.0,-0.068491,-0.142352,-0.010839,0.0,-0.034468,-0.123087,-0.145862,-0.154722,-0.011541,-0.152784,0.0,-0.137364,-0.005822,0.371734,-0.111745,-0.013573,-0.009947,-0.077433,-0.03709,-0.004185,0.0,-0.217418,-0.10066,0.269133,-0.287131,0.0,0.0,-0.057913,-0.011457,-0.303041,-0.110742,-0.142679,-0.005008,-0.083248,0.0
train,ikan01,09,insang,0.0,0.0,-0.15793,-0.031364,3.075857,-0.06768,0.0,-0.158205,-0.082199,0.0,-0.189405,-0.017662,-0.129458,-0.255848,0.0,0.0,-0.068406,-0.142745,-0.009325,0.0,-0.034006,-0.125243,-0.145848,-0.151007,-0.011227,-0.152219,0.0,-0.137064,-0.005644,0.374224,-0.112803,-0.012836,-0.006499,-0.081879,-0.040707,-0.003579,0.0,-0.219118,-0.103277,0.274806,-0.288734,0.0,0.0,-0.057864,-0.011339,-0.301497,-0.11117,-0.144136,-0.006947,-0.073681,0.0
train,ikan01,09,insang,0.0,0.0,-0.147728,-0.037768,3.03593,-0.072134,0.0,-0.158699,-0.090131,0.0,-0.181271,-0.022839,-0.134395,-0.264248,0.0,0.0,-0.07373,-0.138898,-0.013681,-0.005408,-0.037045,-0.124783,-0.149977,-0.168235,-0.02245,-0.154559,0.0,-0.140218,-0.010559,0.349211,-0.118693,-0.029245,-0.010034,-0.083568,-0.043183,-0.003035,0.0,-0.212938,-0.102418,0.309535,-0.291058,0.0,0.0,-0.067836,-0.014273,-0.303201,-0.109193,-0.14074,-0.014448,-0.070091,0.0
train,ikan01,09,insang,0.0,0.0,-0.159161,-0.036978,3.052842,-0.072126,0.0,-0.15985,-0.086762,0.0,-0.188279,-0.023224,-0.13985,-0.261242,0.0,0.0,-0.069261,-0.143101,-0.014046,-0.001352,-0.035923,-0.1247,-0.148527,-0.165724,-0.020742,-0.153847,0.0,-0.15018,-0.00807,0.347141,-0.116173,-0.025885,-0.007544,-0.085129,-0.040304,-0.001644,0.0,-0.214583,-0.093753,0.300325,-0.292731,0.0,0.0,-0.069015,-0.017427,-0.302158,-0.113306,-0.142234,-0.011058,-0.064825,0.0
train,ikan01,11,insang,0.0,0.0,-0.157281,-0.028785,3.04987,-0.069062,0.0,-0.155085,-0.076407,0.0,-0.187581,-0.019689,-0.132371,-0.268378,0.0,0.0,-0.071784,-0.139294,-0.009914,0.0,-0.036045,-0.118923,-0.147117,-0.1554,-0.01378,-0.154093,0.0,-0.136422,-0.006309,0.374278,-0.114202,-0.01532,-0.007614,-0.086773,-0.041494,-0.004304,0.0,-0.222868,-0.105205,0.280103,-0.293887,0.0,0.0,-0.058282,-0.011589,-0.3068,-0.116414,-0.143241,-0.00689,-0.08742,0.0
train,ikan01,11,insang,0.0,0.0,-0.160946,-0.02943,3.080832,-0.072466,-0.000195,-0.157151,-0.071683,0.0,-0.189165,-0.023602,-0.13568,-0.266729,0.0,0.0,-0.071907,-0.140494,-0.010614,0.0,-0.037621,-0.126226,-0.147402,-0.149052,-0.012004,-0.152054,0.0,-0.138066,-0.007289,0.364614,-0.11267,-0.014411,-0.005859,-0.087089,-0.041265,-0.006368,0.0,-0.222261,-0.109471,0.278314,-0.292398,0.0,0.0,-0.06033,-0.01052,-0.306418,-0.112827,-0.14421,-0.007299,-0.083402,0.0
train,ikan01,11,insang,0.0,0.0,-0.157844,-0.029673,3.078033,-0.069366,0.0,-0.156923,-0.074625,0.0,-0.18742,-0.022356,-0.133025,-0.267449,0.0,0.0,-0.072477,-0.143923,-0.012285,0.0,-0.036436,-0.12003,-0.146036,-0.14823,-0.010358,-0.152972,0.0,-0.139005,-0.007483,0.364178,-0.116233,-0.012609,-0.009976,-0.08141,-0.040595,-0.006387,0.0,-0.222765,-0.108441,0.28535,-0.291129,0.0,0.0,-0.060852,-0.01271,-0.309718,-0.112813,-0.1453,-0.006678,-0.085129,0.0
train,ikan01,11,insang,0.0,0.0,-0.160181,-0.02957,3.08355,-0.071948,-0.000191,-0.157282,-0.072337,0.0,-0.189256,-0.023708,-0.135485,-0.26655,0.0,0.0,-0.071541,-0.140393,-0.010802,0.0,-0.037719,-0.126446,-0.147212,-0.148228,-0.012151,-0.152125,0.0,-0.139314,-0.007551,0.36386,-0.112826,-0.014856,-0.006194,-0.088588,-0.04162,-0.006757,0.0,-0.223124,-0.109134,0.279222,-0.292093,0.0,0.0,-0.060452,-0.010743,-0.306346,-0.112315,-0.144098,-0.007227,-0.081537,0.0
train,ikan01,11,insang,0.0,0.0,-0.158118,-0.036722,3.080483,-0.077918,0.0,-0.159356,-0.097767,0.0,-0.185538,-0.027511,-0.138335,-0.259699,0.0,0.0,-0.076074,-0.140592,-0.013207,-0.004399,-0.040222,-0.128021,-0.153045,-0.159395,-0.020152,-0.153271,0.0,-0.143523,-0.010945,0.353097,-0.116421,-0.027664,-0.008473,-0.075846,-0.044317,-0.003359,0.0,-0.214789,-0.106081,0.315918,-0.291665,0.0,0.0,-0.065606,-0.0149,-0.300737,-0.112325,-0.142897,-0.013829,-0.069118,0.0
train,ikan01,11,insang,0.0,0.0,-0.157528,-0.035899,3.061519,-0.07656,0.0,-0.158696,-0.080969,0.0,-0.185297,-0.026536,-0.139946,-0.261988,0.0,0.0,-0.072674,-0.143138,-0.012702,0.0,-0.036831,-0.125877,-0.148923,-0.161133,-0.018331,-0.152617,0.0,-0.149552,-0.010124,0.342039,-0.11684,-0.021964,-0.008148,-0.082578,-0.040928,-0.001408,0.0,-0.216256,-0.099719,0.298225,-0.29173,0.0,0.0,-0.072218,-0.015217,-0.303203,-0.111427,-0.142316,-0.010634,-0.069656,0.0
train,ikan01,13,insang,0.0,0.0,-0.157281,-0.028785,3.04987,-0.069062,0.0,-0.155085,-0.076407,0.0,-0.187581,-0.019689,-0.132371,-0.268378,0.0,0.0,-0.071784,-0.139294,-0.009914,0.0,-0.036045,-0.118923,-0.147117,-0.1554,-0.01378,-0.154093,0.0,-0.136422,-0.006309,0.374278,-0.114202,-0.01532,-0.007614,-0.086773,-0.041494,-0.004304,0.0,-0.222868,-0.105205,0.280103,-0.293887,0.0,0.0,-0.058282,-0.011589,-0.3068,-0.116414,-0.143241,-0.00689,-0.08742,0.0
train,ikan01,13,insang,0.0,0.0,-0.160946,-0.02943,3.080832,-0.072466,-0.000195,-0.157151,-0.071683,0.0,-0.189165,-0.023602,-0.13568,-0.266729,0.0,0.0,-0.071907,-0.140494,-0.010614,0.0,-0.037621,-0.126226,-0.147402,-0.149052,-0.012004,-0.152054,0.0,-0.138066,-0.007289,0.364614,-0.11267,-0.014411,-0.005859,-0.087089,-0.041265,-0.006368,0.0,-0.222261,-0.109471,0.278314,-0.292398,0.0,0.0,-0.06033,-0.01052,-0.306418,-0.112827,-0.14421,-0.007299,-0.083402,0.0
train,ikan01,13,insang,0.0,0.0,-0.157844,-0.029673,3.078033,-0.069366,0.0,-0.156923,-0.074625,0.0,-0.18742,-0.022356,-0.133025,-0.267449,0.0,0.0,-0.072477,-0.143923,-0.012285,0.0,-0.036436,-0.12003,-0.146036,-0.14823,-0.010358,-0.152972,0.0,-0.139005,-0.007483,0.364178,-0.116233,-0.012609,-0.009976,-0.08141,-0.040595,-0.006387,0.0,-0.222765,-0.108441,0.28535,-0.291129,0.0,0.0,-0.060852,-0.01271,-0.309718,-0.112813,-0.1453,-0.006678,-0.085129,0.0
train,ikan01,13,insang,0.0,0.0,-0.160181,-0.02957,3.08355,-0.071948,-0.000191,-0.157282,-0.072337,0.0,-0.189256,-0.023708,-0.135485,-0.26655,0.0,0.0,-0.071541,-0.140393,-0.010802,0.0,-0.037719,-0.126446,-0.147212,-0.148228,-0.012151,-0.152125,0.0,-0.139314,-0.007551,0.36386,-0.112826,-0.014856,-0.006194,-0.088588,-0.04162,-0.006757,0.0,-0.223124,-0.109134,0.279222,-0.292093,0.0,0.0,-0.060452,-0.010743,-0.306346,-0.112315,-0.144098,-0.007227,-0.081537,0.0
train,ikan01,13,insang,0.0,0.0,-0.158118,-0.036722,3.080483,-0.077918,0.0,-0.159356,-0.097767,0.0,-0.185538,-0.027511,-0.138335,-0.259699,0.0,0.0,-0.076074,-0.140592,-0.013207,-0.004399,-0.040222,-0.128021,-0.153045,-0.159395,-0.020152,-0.153271,0.0,-0.143523,-0.010945,0.353097,-0.116421,-0.027664,-0.008473,-0.075846,-0.044317,-0.003359,0.0,-0.214789,-0.106081,0.315918,-0.291665,0.0,0.0,-0.065606,-0.0149,-0.300737,-0.112325,-0.142897,-0.013829,-0.069118,0.0
train,ikan01,13,insang,0.0,0.0,-0.157528,-0.035899,3.061519,-0.07656,0.0,-0.158696,-0.080969,0.0,-0.185297,-0.026536,-0.139946,-0.261988,0.0,0.0,-0.072674,-0.143138,-0.012702,0.0,-0.036831,-0.125877,-0.148923,-0.161133,-0.018331,-0.152617,0.0,-0.149552,-0.010124,0.342039,-0.11684,-0.021964,-0.008148,-0.082578,-0.040928,-0.001408,0.0,-0.216256,-0.099719,0.298225,-0.29173,0.0,0.0,-0.072218,-0.015217,-0.303203,-0.111427,-0.142316,-0.010634,-0.069656,0.0
train,ikan01,15,insang,0.0,0.0,-0.157289,-0.035607,3.031112,-0.065821,0.0,-0.154316,-0.087203,0.0,-0.190361,-0.017865,-0.131981,-0.261335,0.0,0.0,-0.068153,-0.141682,-0.009915,0.0,-0.03553,-0.121042,-0.148343,-0.156376,-0.014809,-0.151986,0.0,-0.139963,-0.006637,0.37824,-0.114827,-0.014893,-0.008083,-0.081969,-0.045361,-0.003989,0.0,-0.212418,-0.1021,0.262309,-0.288872,0.0,0.0,-0.059552,-0.011894,-0.303806,-0.116151,-0.14549,-0.008088,-0.082856,0.0
train,ikan01,15,insang,0.0,0.0,-0.158043,-0.035835,3.048268,-0.067584,0.0,-0.155464,-0.082467,0.0,-0.191883,-0.018928,-0.13308,-0.263968,0.0,0.0,-0.068251,-0.142337,-0.010672,0.0,-0.037137,-0.12996,-0.148436,-0.15091,-0.013952,-0.15,0.0,-0.142363,-0.007393,0.373976,-0.113425,-0.014238,-0.006277,-0.079736,-0.046471,-0.00526,0.0,-0.214023,-0.106257,0.257457,-0.288303,0.0,0.0,-0.061788,-0.011017,-0.305341,-0.110792,-0.146057,-0.008601,-0.081605,0.0
train,ikan01,15,insang,0.0,0.0,-0.15158,-0.03435,3.048728,-0.070437,0.0,-0.154069,-0.076988,0.0,-0.18769,-0.020279,-0.132323,-0.271446,0.0,0.0,-0.068374,-0.142368,-0.01136,0.0,-0.036525,-0.126451,-0.145677,-0.152309,-0.013426,-0.15026,0.0,-0.140854,-0.007266,0.365407,-0.112973,-0.014743,-0.010225,-0.077902,-0.04417,-0.005483,0.0,-0.214503,-0.105095,0.257208,-0.29052,0.0,0.0,-0.063126,-0.010939,-0.310529,-0.109405,-0.145218,-0.007097,-0.094215,0.0
train,ikan01,15,insang,0.0,0.0,-0.157127,-0.036006,3.047917,-0.067815,0.0,-0.155517,-0.083002,0.0,-0.191717,-0.019064,-0.132937,-0.263007,0.0,0.0,-0.068215,-0.142294,-0.011094,0.0,-0.037365,-0.13043,-0.148374,-0.149958,-0.014159,-0.149969,0.0,-0.143371,-0.007643,0.372958,-0.113797,-0.014538,-0.006482,-0.079682,-0.046887,-0.00548,0.0,-0.213501,-0.10592,0.255661,-0.287679,0.0,0.0,-0.062088,-0.011142,-0.304558,-0.110287,-0.146299,-0.00858,-0.079048,0.0
train,ikan01,15,insang,0.0,0.0,-0.155898,-0.040711,3.057362,-0.072314,0.0,-0.158364,-0.096433,0.0,-0.184335,-0.023147,-0.135031,-0.261231,0.0,0.0,-0.072115,-0.139605,-0.012739,-0.003346,-0.039093,-0.1268,-0.152415,-0.166109,-0.02073,-0.153523,0.0,-0.144231,-0.010056,0.344074,-0.118521,-0.027966,-0.010749,-0.081148,-0.044927,-0.003471,0.0,-0.211091,-0.105031,0.311265,-0.291899,0.0,0.0,-0.072081,-0.013718,-0.305478,-0.108716,-0.143189,-0.013425,-0.070356,0.0
train,ikan01,15,insang,0.0,0.0,-0.161316,-0.038441,3.055582,-0.071773,0.0,-0.154861,-0.087895,0.0,-0.188194,-0.022681,-0.140555,-0.261728,0.0,0.0,-0.070721,-0.142337,-0.014009,0.0,-0.037228,-0.126652,-0.148514,-0.161717,-0.019349,-0.151362,0.0,-0.151083,-0.008482,0.35199,-0.11624,-0.025169,-0.007592,-0.083884,-0.041821,-0.002853,0.0,-0.214337,-0.096606,0.291574,-0.291594,0.0,0.0,-0.071138,-0.015993,-0.304099,-0.110234,-0.142916,-0.009531,-0.068068,0.0
train,ikan01,07,mata,0.0,0.0,-0.156924,-0.032229,3.030403,-0.067013,0.0,-0.154888,-0.082515,0.0,-0.184066,-0.017648,-0.134308,-0.262273,0.0,0.0,-0.0696,-0.144273,-0.009496,0.0,-0.035131,-0.120537,-0.147626,-0.153592,-0.013036,-0.153281,0.0,-0.13874,-0.006394,0.378805,-0.116787,-0.01381,-0.009849,-0.083882,-0.041377,-0.005023,0.0,-0.212752,-0.105759,0.263822,-0.288106,0.0,0.0,-0.059933,-0.012241,-0.302533,-0.115316,-0.145426,-0.003862,-0.087757,0.0
train,ikan01,07,mata,0.0,0.0,-0.159391,-0.032768,3.044171,-0.070036,0.0,-0.155789,-0.079657,0.0,-0.187667,-0.019735,-0.136416,-0.261953,0.0,0.0,-0.069216,-0.144816,-0.009685,0.0,-0.0363,-0.127027,-0.14745,-0.147351,-0.011349,-0.151337,0.0,-0.140403,-0.006969,0.370812,-0.116495,-0.012391,-0.009582,-0.081781,-0.041491,-0.006685,0.0,-0.208809,-0.111265,0.262647,-0.286824,0.0,0.0,-0.062338,-0.011136,-0.30242,-0.110343,-0.146121,-0.004275,-0.082876,0.0
train,ikan01,07,mata,0.0,0.0,-0.159472,-0.033149,3.04171,-0.069756,0.0,-0.155558,-0.079082,0.0,-0.189546,-0.019265,-0.13445,-0.262064,0.0,0.0,-0.069471,-0.144515,-0.010725,0.0,-0.039042,-0.130934,-0.14888,-0.146826,-0.011176,-0.1521,0.0,-0.142022,-0.007304,0.367057,-0.115471,-0.013673,-0.009795,-0.077176,-0.042855,-0.00538,0.0,-0.210118,-0.10871,0.265708,-0.289502,0.0,0.0,-0.059653,-0.011331,-0.302385,-0.109582,-0.146414,-0.010582,-0.077602,0.0
train,ikan01,07,mata,0.0,0.0,-0.158605,-0.032993,3.043093,-0.070242,0.0,-0.155977,-0.080211,0.0,-0.187762,-0.019905,-0.136398,-0.262014,0.0,0.0,-0.068996,-0.144774,-0.009823,0.0,-0.036435,-0.127048,-0.147226,-0.145822,-0.01156,-0.151441,0.0,-0.141186,-0.007159,0.369918,-0.116698,-0.012611,-0.009787,-0.081593,-0.041826,-0.006784,0.0,-0.208675,-0.110882,0.26213,-0.28682,0.0,0.0,-0.062684,-0.011413,-0.302084,-0.110137,-0.146301,-0.004214,-0.08173,0.0
train,ikan01,07,mata,0.0,0.0,-0.157526,-0.036226,3.032948,-0.075172,0.0,-0.157814,-0.089058,0.0,-0.181855,-0.020548,-0.135501,-0.259427,0.0,0.0,-0.072879,-0.141223,-0.012834,-0.003879,-0.039325,-0.126609,-0.150331,-0.158503,-0.018774,-0.154325,0.0,-0.143306,-0.01091,0.353247,-0.121148,-0.024963,-0.013301,-0.077299,-0.042188,-0.003956,0.0,-0.20053,-0.105933,0.297447,-0.281947,0.0,0.0,-0.072393,-0.01255,-0.297191,-0.104833,-0.143894,-0.007004,-0.070173,0.0
train,ikan01,07,mata,0.0,0.0,-0.155061,-0.037016,3.058358,-0.076265,-0.000785,-0.158984,-0.083074,0.0,-0.18755,-0.025053,-0.14545,-0.263967,0.0,0.0,-0.070416,-0.142626,-0.013207,-0.002727,-0.034597,-0.130541,-0.147926,-0.163861,-0.020671,-0.151486,0.0,-0.151997,-0.009156,0.341421,-0.116903,-0.026284,-0.007838,-0.078706,-0.039788,-0.003458,0.0,-0.206309,-0.096753,0.292339,-0.292211,0.0,0.0,-0.069544,-0.014531,-0.304209,-0.112798,-0.14269,-0.00952,-0.065714,0.0
train,ikan01,09,mata,0.0,0.0,-0.156924,-0.032229,3.030403,-0.067013,0.0,-0.154888,-0.082515,0.0,-0.184066,-0.017648,-0.134308,-0.262273,0.0,0.0,-0.0696,-0.144273,-0.009496,0.0,-0.035131,-0.120537,-0.147626,-0.153592,-0.013036,-0.153281,0.0,-0.13874,-0.006394,0.378805,-0.116787,-0.01381,-0.009849,-0.083882,-0.041377,-0.005023,0.0,-0.212752,-0.105759,0.263822,-0.288106,0.0,0.0,-0.059933,-0.012241,-0.302533,-0.115316,-0.145426,-0.003862,-0.087757,0.0
train,ikan01,09,mata,0.0,0.0,-0.159391,-0.032768,3.044171,-0.070036,0.0,-0.155789,-0.079657,0.0,-0.187667,-0.019735,-0.136416,-0.261953,0.0,0.0,-0.069216,-0.144816,-0.009685,0.0,-0.0363,-0.127027,-0.14745,-0.147351,-0.011349,-0.151337,0.0,-0.140403,-0.006969,0.370812,-0.116495,-0.012391,-0.009582,-0.081781,-0.041491,-0.006685,0.0,-0.208809,-0.111265,0.262647,-0.286824,0.0,0.0,-0.062338,-0.011136,-0.30242,-0.110343,-0.146121,-0.004275,-0.082876,0.0
train,ikan01,09,mata,0.0,0.0,-0.159472,-0.033149,3.04171,-0.069756,0.0,-0.155558,-0.079082,0.0,-0.189546,-0.019265,-0.13445,-0.262064,0.0,0.0,-0.069471,-0.144515,-0.010725,0.0,-0.039042,-0.130934,-0.14888,-0.146826,-0.011176,-0.1521,0.0,-0.142022,-0.007304,0.367057,-0.115471,-0.013673,-0.009795,-0.077176,-0.042855,-0.00538,0.0,-0.210118,-0.10871,0.265708,-0.289502,0.0,0.0,-0.059653,-0.011331,-0.302385,-0.109582,-0.146414,-0.010582,-0.077602,0.0
train,ikan01,09,mata,0.0,0.0,-0.158605,-0.032993,3.043093,-0.070242,0.0,-0.155977,-0.080211,0.0,-0.187762,-0.019905,-0.136398,-0.262014,0.0,0.0,-0.068996,-0.144774,-0.009823,0.0,-0.036435,-0.127048,-0.147226,-0.145822,-0.01156,-0.151441,0.0,-0.141186,-0.007159,0.369918,-0.116698,-0.012611,-0.009787,-0.081593,-0.041826,-0.006784,0.0,-0.208675,-0.110882,0.26213,-0.28682,0.0,0.0,-0.062684,-0.011413,-0.302084,-0.110137,-0.146301,-0.004214,-0.08173,0.0
train,ikan01,09,mata,0.0,0.0,-0.157526,-0.036226,3.032948,-0.075172,0.0,-0.157814,-0.089058,0.0,-0.181855,-0.020548,-0.135501,-0.259427,0.0,0.0,-0.072879,-0.141223,-0.012834,-0.003879,-0.039325,-0.126609,-0.150331,-0.158503,-0.018774,-0.154325,0.0,-0.143306,-0.01091,0.353247,-0.121148,-0.024963,-0.013301,-0.077299,-0.042188,-0.003956,0.0,-0.20053,-0.105933,0.297447,-0.281947,0.0,0.0,-0.072393,-0.01255,-0.297191,-0.104833,-0.143894,-0.007004,-0.070173,0.0
train,ikan01,09,mata,0.0,0.0,-0.155061,-0.037016,3.058358,-0.076265,-0.000785,-0.158984,-0.083074,0.0,-0.18755,-0.025053,-0.14545,-0.263967,0.0,0.0,-0.070416,-0.142626,-0.013207,-0.002727,-0.034597,-0.130541,-0.147926,-0.163861,-0.020671,-0.151486,0.0,-0.151997,-0.009156,0.341421,-0.116903,-0.026284,-0.007838,-0.078706,-0.039788,-0.003458,0.0,-0.206309,-0.096753,0.292339,-0.292211,0.0,0.0,-0.069544,-0.014531,-0.304209,-0.112798,-0.14269,-0.00952,-0.065714,0.0
train,ikan01,11,mata,0.0,0.0,-0.161529,-0.033137,3.042179,-0.067136,0.0,-0.154325,-0.08479,0.0,-0.183516,-0.017453,-0.135419,-0.262988,0.0,0.0,-0.070051,-0.144599,-0.009635,0.0,-0.035024,-0.119356,-0.147268,-0.159026,-0.013354,-0.153029,0.0,-0.137533,-0.006578,0.374902,-0.116093,-0.014085,-0.009588,-0.084019,-0.040076,-0.004443,0.0,-0.213781,-0.10574,0.268018,-0.288315,0.0,0.0,-0.059788,-0.012019,-0.304633,-0.117102,-0.145783,-0.00225,-0.086324,0.0
train,ikan01,11,mata,0.0,0.0,-0.165799,-0.033725,3.053593,-0.069643,0.0,-0.156259,-0.083624,0.0,-0.187323,-0.019382,-0.13783,-0.263168,0.0,0.0,-0.06944,-0.145203,-0.009687,0.0,-0.036462,-0.127025,-0.147958,-0.155343,-0.011544,-0.150715,0.0,-0.138713,-0.007511,0.365246,-0.117042,-0.012472,-0.009212,-0.081743,-0.040133,-0.006259,0.0,-0.21027,-0.111413,0.270438,-0.287214,0.0,0.0,-0.062965,-0.010755,-0.306441,-0.113496,-0.147205,-0.001953,-0.082342,0.0
train,ikan01,11,mata,0.0,0.0,-0.160294,-0.034536,3.028039,-0.07282,0.0,-0.156151,-0.074426,0.0,-0.184864,-0.020504,-0.135159,-0.263237,0.0,0.0,-0.069869,-0.144019,-0.010019,0.0,-0.038869,-0.129278,-0.147843,-0.153415,-0.011826,-0.151104,0.0,-0.140188,-0.007495,0.36132,-0.115848,-0.013051,-0.010861,-0.076872,-0.039873,-0.005926,0.0,-0.208609,-0.108465,0.263773,-0.289493,0.0,0.0,-0.060027,-0.010833,-0.302114,-0.109697,-0.145927,-0.010348,-0.081165,0.0
train,ikan01,11,mata,0.0,0.0,-0.165279,-0.033866,3.052826,-0.069822,0.0,-0.156412,-0.084429,0.0,-0.187334,-0.019538,-0.137882,-0.262338,0.0,0.0,-0.069322,-0.145176,-0.009983,0.0,-0.036704,-0.127269,-0.147877,-0.154716,-0.011629,-0.15075,0.0,-0.139447,-0.007681,0.36414,-0.117449,-0.012635,-0.009471,-0.081749,-0.040247,-0.006394,0.0,-0.210349,-0.11123,0.270061,-0.287247,0.0,0.0,-0.063266,-0.010886,-0.305801,-0.113325,-0.147475,-0.00192,-0.081007,0.0
train,ikan01,11,mata,0.0,0.0,-0.164114,-0.037025,3.037561,-0.07721,0.0,-0.156814,-0.091605,0.0,-0.184371,-0.021447,-0.134855,-0.256404,0.0,0.0,-0.072447,-0.140404,-0.013334,-0.003863,-0.039242,-0.126636,-0.153912,-0.157455,-0.019655,-0.153303,0.0,-0.141938,-0.011349,0.350986,-0.120724,-0.025418,-0.013059,-0.080319,-0.043361,-0.003567,0.0,-0.200386,-0.104296,0.301949,-0.281785,0.0,0.0,-0.074915,-0.012954,-0.296168,-0.110598,-0.144238,-0.006456,-0.06636,0.0
