Dataset,Ikan,Jam,Bagian,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F576
train,ikan01,17,insang,0.445361,0.143266,0.179423,0.535023,0.986612,0.002123,0.031461,0.866223,-0.063652,0.401066,0.203734,1.126391,1.753662,0.010089,-0.079898,0.172495,0.988594,0.402575,0.058597,3.603329,0.495209,1.544236,0.128513,0.013805,0.68785,0.69996,1.412892,1.839302,-0.027072,-0.044159,1.156757,0.965745,0.531304,1.333089,-0.038848,1.214571,0.007547,0.026354,0.399906,1.446475,-0.160113,1.701721,1.833318,0.343468,0.210426,0.074341,0.902947,0.379355,0.969113,-0.037719,0.084625
train,ikan01,17,insang,0.051927,-0.004764,0.13597,0.834906,0.893014,0.305897,-0.007221,0.424542,-0.046249,0.196239,-0.008907,0.843608,1.302028,0.139961,-0.04535,-0.042119,1.015735,0.374208,0.069985,4.35293,1.486152,1.464613,-0.016048,-0.021523,0.681097,0.562803,1.869762,1.44963,0.036944,-0.099462,0.75976,1.689248,0.214889,1.469592,-0.014678,1.063545,0.0,0.103369,0.274905,1.424018,-0.055515,1.769145,1.196987,0.432675,0.174884,0.046591,0.930943,0.632329,1.286728,-0.000101,-0.012874
train,ikan01,19,insang,0.390088,-0.01048,0.149064,0.383045,-0.070293,-0.02001,0.023055,1.175248,-0.02265,0.954261,0.356084,0.878014,1.594408,0.047083,-0.02207,-0.097321,0.242705,0.099845,0.070261,2.149958,0.912752,0.005378,0.372255,0.54016,0.830599,0.355842,2.314916,0.430709,0.203938,0.131419,0.477996,0.984798,0.739711,0.689834,0.058175,1.940817,-0.006866,0.060512,0.735652,0.089349,-0.109395,2.007543,2.403905,0.308072,0.158211,-0.118425,0.845577,0.05939,1.210796,-0.07877,0.005116
train,ikan01,19,insang,0.262317,0.085393,0.277579,0.598164,-0.053836,-0.044817,0.046406,1.360885,-0.023577,0.835899,0.053454,0.929703,2.417578,0.294894,-0.021545,0.085563,0.443782,0.254152,0.477527,4.026539,1.442253,0.430056,0.486858,0.645076,1.423432,0.260251,3.05337,1.080879,-0.009294,0.242311,0.815375,1.211553,0.513446,1.114126,0.214616,1.599921,0.0,0.037161,0.917242,0.170337,-0.176697,1.815859,2.243965,0.537559,0.065773,-0.103196,0.961104,0.181132,0.865325,-0.123664,0.157207
train,ikan01,19,insang,0.18214,0.143436,0.011532,0.354414,-0.104157,-0.042223,0.024714,1.25723,-0.011218,0.7224,0.015221,0.884457,2.397462,0.411518,-0.020273,-0.048388,0.62957,0.308854,0.132863,3.652979,1.438784,0.180327,0.261754,0.333186,1.1666,0.311232,2.879922,0.455455,0.093858,0.180984,0.735956,0.963615,0.504737,1.309074,0.262667,1.653306,0.0,0.058706,0.504968,0.141494,-0.162385,1.572294,2.283399,0.59231,0.254955,-0.105851,0.905218,0.260441,0.754114,-0.106862,0.203131
train,ikan01,19,insang,0.264328,0.003926,0.264501,0.467878,-0.093157,-0.028269,0.05839,1.433397,-0.024259,0.79138,0.06716,0.960564,2.630873,0.346113,-0.021467,0.063074,0.487013,0.213368,0.346245,3.918466,1.551958,0.355766,0.441388,0.709843,1.33507,0.419769,3.044354,0.771999,0.007177,0.193151,0.766667,1.169295,0.62642,1.247947,0.255558,1.367918,0.0,0.053044,0.867421,0.172032,-0.1838,1.80744,2.559636,0.555095,0.146751,-0.118287,0.976504,0.241436,1.041774,-0.113495,0.145436
train,ikan01,19,insang,0.445361,0.143266,0.179423,0.535023,0.986612,0.002123,0.031461,0.866223,-0.063652,0.401066,0.203734,1.126391,1.753662,0.010089,-0.079898,0.172495,0.988594,0.402575,0.058597,3.603329,0.495209,1.544236,0.128513,0.013805,0.68785,0.69996,1.412892,1.839302,-0.027072,-0.044159,1.156757,0.965745,0.531304,1.333089,-0.038848,1.214571,0.007547,0.026354,0.399906,1.446475,-0.160113,1.701721,1.833318,0.343468,0.210426,0.074341,0.902947,0.379355,0.969113,-0.037719,0.084625
train,ikan01,19,insang,0.051927,-0.004764,0.13597,0.834906,0.893014,0.305897,-0.007221,0.424542,-0.046249,0.196239,-0.008907,0.843608,1.302028,0.139961,-0.04535,-0.042119,1.015735,0.374208,0.069985,4.35293,1.486152,1.464613,-0.016048,-0.021523,0.681097,0.562803,1.869762,1.44963,0.036944,-0.099462,0.75976,1.689248,0.214889,1.469592,-0.014678,1.063545,0.0,0.103369,0.274905,1.424018,-0.055515,1.769145,1.196987,0.432675,0.174884,0.046591,0.930943,0.632329,1.286728,-0.000101,-0.012874
train,ikan01,21,insang,0.465485,0.110057,0.737061,0.410648,0.116804,0.009869,0.076369,0.537441,0.258782,0.600524,0.282136,0.596256,1.225561,-0.033624,-0.031907,-0.119778,1.044375,0.17165,0.222959,3.086404,0.868413,0.126755,0.312747,0.3836,1.205646,0.296111,1.694895,0.392434,0.505806,-0.121397,0.570049,0.789882,0.526454,0.43402,-0.026558,1.773963,0.044731,0.04134,1.611337,0.358952,-0.109546,1.30509,1.887634,0.413567,0.073772,-0.068441,0.673124,0.097312,0.579114,-0.141498,-0.024932
train,ikan01,21,insang,0.307333,0.365578,0.406146,0.461499,0.03761,-0.090083,0.136447,0.739477,0.235281,0.445676,0.275878,0.443335,1.122384,0.330466,-0.067062,0.14294,1.757028,0.363802,0.260343,3.927947,1.422503,0.475518,-0.017678,0.271769,1.45751,0.853582,2.416967,0.55198,0.344164,-0.094748,0.906686,0.793744,0.405678,0.634235,-0.013727,1.336533,0.090254,0.064842,1.416003,0.371602,-0.106882,1.533717,1.278006,0.803352,0.112484,-0.108049,0.626742,0.277087,0.593765,-0.048159,-0.042133
