Dataset,Ikan,Jam,Bagian,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F576
train,ikan07,17,insang,0.919394,0.126527,0.724164,0.41862,0.983719,1.021114,0.000152,0.374027,-0.008532,0.513595,0.000861,0.319875,1.041067,0.558424,-0.055975,-0.027707,1.423919,0.806142,0.099716,3.086228,1.933436,1.282303,0.012828,-0.026121,1.224328,0.287296,4.258381,1.914987,0.097088,-0.018387,0.907205,1.440115,0.136802,0.491641,0.368755,1.576598,0.0,-0.016744,0.298647,1.698854,-0.094496,2.000865,0.813909,0.127283,0.108995,0.042822,0.539323,0.533141,1.021979,0.010407,-0.030352
train,ikan07,19,insang,0.89634,0.214995,0.843262,0.375577,0.159692,0.97431,0.093223,0.626206,-0.036355,1.065137,0.61074,0.013467,0.429682,0.186518,-0.025839,-0.129851,0.933418,0.571424,0.104337,1.457332,1.462595,0.35579,0.252602,0.254602,1.308721,0.51361,3.623525,0.357498,0.243003,-0.093285,0.721362,0.918699,0.122634,0.17417,0.188836,1.29754,0.04712,0.040678,0.566986,0.236986,-0.104856,1.537719,1.029067,0.163881,0.084655,-0.036568,0.41923,0.319586,0.742956,0.093741,-0.017743
train,ikan07,19,insang,0.655535,0.270274,0.887039,0.26383,0.001459,0.197949,0.011996,1.051093,-0.008764,0.808097,0.328313,0.077827,0.677308,0.427926,-0.013685,-0.12304,1.282204,0.313585,0.157706,2.359665,2.155439,0.486808,0.188047,0.301639,1.678714,0.487001,4.815784,0.892281,0.012082,-0.012422,0.75932,1.02053,0.094906,0.580689,0.391599,0.643976,0.0,0.014764,0.571463,0.158639,-0.092229,1.954798,0.849221,0.167511,0.139104,-0.100478,0.651682,0.334606,0.532302,-0.027433,0.130381
train,ikan07,19,insang,0.583783,0.032235,0.9514,0.354287,-0.042463,0.291091,0.05985,1.08144,-0.011644,0.457729,0.23886,0.210091,0.693116,0.500014,-0.023109,-0.131381,1.144506,0.634803,0.142282,2.214999,2.194098,0.516227,0.169161,0.274612,1.62558,0.441922,4.412923,0.74297,0.032439,-0.035414,1.022574,0.914172,0.008916,0.645446,0.453099,0.472849,0.0,0.096674,0.366911,0.131766,-0.111507,1.697715,0.694678,0.256567,0.029331,-0.117369,0.75589,0.391283,0.608586,-0.014206,0.05708
train,ikan07,19,insang,0.681346,0.231789,0.909109,0.2434,-0.038234,0.175893,0.006614,0.892332,-0.006771,0.801928,0.25286,0.072571,0.681809,0.455933,-0.012422,-0.144616,1.276868,0.272922,0.147657,2.191219,2.065888,0.49298,0.216635,0.248163,1.700534,0.478972,4.736932,0.701106,0.005175,-0.038823,0.822062,0.986769,0.076072,0.473535,0.401576,0.644048,0.0,0.049184,0.599952,0.146627,-0.08042,1.784137,0.771956,0.163664,0.135557,-0.108055,0.650812,0.327675,0.474654,-0.028483,0.129884
train,ikan07,19,insang,0.888302,0.112052,0.745508,0.363508,0.814329,0.21222,-0.039932,0.541482,-0.023359,0.383069,0.06598,0.385925,1.137302,0.262174,-0.045432,0.10283,1.468679,1.086026,-0.024103,3.381229,1.76467,0.801545,0.061701,-0.027958,0.779293,0.064284,3.737611,1.670646,-0.029164,-0.075757,0.555403,1.925231,0.250179,0.591893,0.438477,0.723519,0.0,-0.01123,0.059906,1.254911,-0.113565,1.771758,0.845678,0.282232,-0.074908,0.247889,0.593717,0.463903,0.88727,0.057293,0.035811
train,ikan07,19,insang,0.919394,0.126527,0.724164,0.41862,0.983719,1.021114,0.000152,0.374027,-0.008532,0.513595,0.000861,0.319875,1.041067,0.558424,-0.055975,-0.027707,1.423919,0.806142,0.099716,3.086228,1.933436,1.282303,0.012828,-0.026121,1.224328,0.287296,4.258381,1.914987,0.097088,-0.018387,0.907205,1.440115,0.136802,0.491641,0.368755,1.576598,0.0,-0.016744,0.298647,1.698854,-0.094496,2.000865,0.813909,0.127283,0.108995,0.042822,0.539323,0.533141,1.021979,0.010407,-0.030352
train,ikan07,21,insang,0.807681,0.065664,0.756814,0.350169,0.050439,-0.058885,0.064692,0.866493,0.318142,0.730312,0.200336,0.278324,2.171859,0.269797,-0.018522,-0.118854,0.927418,0.665659,0.079032,3.179793,0.993837,0.261071,0.131578,0.371231,0.835552,0.041171,3.02446,0.552179,0.376378,0.027348,0.682128,1.380029,0.094227,0.133771,0.178317,1.146525,0.0,0.275986,1.706904,0.206012,0.010749,2.315613,1.875178,0.282237,0.044802,-0.111139,0.652585,0.20868,0.710902,-0.137325,-0.000401
train,ikan07,21,insang,0.542856,0.290825,0.464008,0.52931,-0.007153,-0.039326,0.164983,1.368292,0.231634,0.565497,0.067543,0.403893,2.077827,0.861689,-0.016755,0.246469,1.535807,0.881248,-0.004084,4.14541,1.067702,0.492426,-0.00626,0.362258,1.437824,0.289324,2.941199,1.046882,0.364311,0.014854,1.001648,1.351644,0.003752,0.199729,0.152309,0.627583,0.0,0.190648,1.296907,0.210974,-0.111102,2.456049,1.237705,0.576451,0.212613,-0.122695,0.804669,0.761739,0.894162,-0.091743,-0.012657
train,ikan07,21,insang,0.351175,0.18351,0.962845,0.210436,-0.068739,-0.033343,-0.01159,0.81013,0.180487,0.491997,0.002334,0.352924,2.273241,0.908105,-0.060638,0.070722,1.639405,0.615127,-0.007221,3.67649,1.510503,0.431182,-0.022566,0.523739,1.060996,0.504712,3.176824,0.65824,0.183419,0.007472,0.942662,1.227069,0.086271,0.512469,0.044003,0.660174,0.0,0.098362,1.278754,0.160761,-0.04179,2.189177,1.916176,0.491737,0.120861,-0.118227,0.724529,0.666106,0.747949,-0.089455,-0.027826
train,ikan07,21,insang,0.662692,0.250205,0.7127,0.514715,-0.018878,-0.043699,0.166131,1.273399,0.227881,0.609768,0.077746,0.458478,2.199655,0.979057,-0.016559,0.13763,1.502548,0.87854,-0.009867,3.774957,1.312854,0.409187,-0.011794,0.447937,1.641576,0.242666,2.987566,0.821816,0.316829,0.012676,1.16421,1.248824,0.06725,0.2436,0.177534,0.541743,0.0,0.145613,1.27729,0.170327,-0.065274,2.332934,1.628235,0.543486,0.260878,-0.121151,0.812024,0.688059,0.910829,-0.10721,-0.019501
train,ikan07,21,insang,0.656303,0.05535,0.652764,0.34792,0.780435,0.111327,-0.013527,0.814304,-0.019145,0.355644,0.016544,0.69304,1.377412,0.390593,-0.077409,0.104938,1.995178,0.974142,0.068377,4.126891,1.408623,1.20033,-0.031157,0.043124,1.414671,0.442823,2.400109,1.039944,0.105873,-0.122873,0.813857,1.369572,0.035932,0.744973,0.064016,0.616379,0.0,-0.058518,0.681324,1.272711,-0.148632,1.803261,1.372991,0.487007,0.398097,0.004087,0.577463,0.506654,1.300323,-0.06154,0.160708
train,ikan07,21,insang,0.278659,-0.021878,0.186275,0.277871,0.90516,0.027063,0.061228,0.993652,-0.01678,0.306993,-0.021605,0.893713,1.563494,0.180222,-0.074296,-0.078069,1.122042,0.608262,-0.023893,4.735431,1.24666,0.680897,-0.023582,0.109809,1.396835,0.669277,1.790795,1.802153,0.025505,-0.108121,0.593928,2.382918,0.240596,0.733396,0.026387,1.29413,-0.006913,0.227099,1.016274,1.596648,-0.103729,1.819047,1.562051,0.617063,0.126633,-0.024252,0.783393,0.703615,1.17214,-0.05187,0.060895
train,ikan07,23,insang,0.807681,0.065664,0.756814,0.350169,0.050439,-0.058885,0.064692,0.866493,0.318142,0.730312,0.200336,0.278324,2.171859,0.269797,-0.018522,-0.118854,0.927418,0.665659,0.079032,3.179793,0.993837,0.261071,0.131578,0.371231,0.835552,0.041171,3.02446,0.552179,0.376378,0.027348,0.682128,1.380029,0.094227,0.133771,0.178317,1.146525,0.0,0.275986,1.706904,0.206012,0.010749,2.315613,1.875178,0.282237,0.044802,-0.111139,0.652585,0.20868,0.710902,-0.137325,-0.000401
train,ikan07,23,insang,0.542856,0.290825,0.464008,0.52931,-0.007153,-0.039326,0.164983,1.368292,0.231634,0.565497,0.067543,0.403893,2.077827,0.861689,-0.016755,0.246469,1.535807,0.881248,-0.004084,4.14541,1.067702,0.492426,-0.00626,0.362258,1.437824,0.289324,2.941199,1.046882,0.364311,0.014854,1.001648,1.351644,0.003752,0.199729,0.152309,0.627583,0.0,0.190648,1.296907,0.210974,-0.111102,2.456049,1.237705,0.576451,0.212613,-0.122695,0.804669,0.761739,0.894162,-0.091743,-0.012657
train,ikan07,23,insang,0.351175,0.18351,0.962845,0.210436,-0.068739,-0.033343,-0.01159,0.81013,0.180487,0.491997,0.002334,0.352924,2.273241,0.908105,-0.060638,0.070722,1.639405,0.615127,-0.007221,3.67649,1.510503,0.431182,-0.022566,0.523739,1.060996,0.504712,3.176824,0.65824,0.183419,0.007472,0.942662,1.227069,0.086271,0.512469,0.044003,0.660174,0.0,0.098362,1.278754,0.160761,-0.04179,2.189177,1.916176,0.491737,0.120861,-0.118227,0.724529,0.666106,0.747949,-0.089455,-0.027826
train,ikan07,23,insang,0.662692,0.250205,0.7127,0.514715,-0.018878,-0.043699,0.166131,1.273399,0.227881,0.609768,0.077746,0.458478,2.199655,0.979057,-0.016559,0.13763,1.502548,0.87854,-0.009867,3.774957,1.312854,0.409187,-0.011794,0.447937,1.641576,0.242666,2.987566,0.821816,0.316829,0.012676,1.16421,1.248824,0.06725,0.2436,0.177534,0.541743,0.0,0.145613,1.27729,0.170327,-0.065274,2.332934,1.628235,0.543486,0.260878,-0.121151,0.812024,0.688059,0.910829,-0.10721,-0.019501
train,ikan07,23,insang,0.656303,0.05535,0.652764,0.34792,0.780435,0.111327,-0.013527,0.814304,-0.019145,0.355644,0.016544,0.69304,1.377412,0.390593,-0.077409,0.104938,1.995178,0.974142,0.068377,4.126891,1.408623,1.20033,-0.031157,0.043124,1.414671,0.442823,2.400109,1.039944,0.105873,-0.122873,0.813857,1.369572,0.035932,0.744973,0.064016,0.616379,0.0,-0.058518,0.681324,1.272711,-0.148632,1.803261,1.372991,0.487007,0.398097,0.004087,0.577463,0.506654,1.300323,-0.06154,0.160708
train,ikan07,23,insang,0.278659,-0.021878,0.186275,0.277871,0.90516,0.027063,0.061228,0.993652,-0.01678,0.306993,-0.021605,0.893713,1.563494,0.180222,-0.074296,-0.078069,1.122042,0.608262,-0.023893,4.735431,1.24666,0.680897,-0.023582,0.109809,1.396835,0.669277,1.790795,1.802153,0.025505,-0.108121,0.593928,2.382918,0.240596,0.733396,0.026387,1.29413,-0.006913,0.227099,1.016274,1.596648,-0.103729,1.819047,1.562051,0.617063,0.126633,-0.024252,0.783393,0.703615,1.17214,-0.05187,0.060895
train,ikan07,01,mata,0.258905,-0.052797,0.123249,-0.015495,-0.033608,-0.058147,-0.074373,0.310743,-0.049563,0.220659,0.192101,0.058964,2.271228,-0.149245,0.082359,0.014324,-0.069448,-0.057756,-0.025056,1.741824,3.736651,0.183572,0.406566,0.285275,1.009398,0.222996,1.170352,0.574506,0.220161,0.222598,0.0413,0.649321,-0.042182,0.475135,-0.014421,2.400497,0.0,0.086599,0.87903,0.621219,-0.016552,0.501875,1.98883,0.146269,0.049279,-0.145374,1.570762,-0.130211,0.707723,-0.010751,0.062813
train,ikan07,01,mata,0.288341,-0.049537,0.552123,-0.01305,-0.083056,0.134835,-0.059759,0.37517,-0.044968,0.669106,-0.003894,0.147793,2.307905,-0.015924,0.044595,0.177292,0.061158,-0.121129,-0.016152,2.350813,4.374617,0.468459,0.23803,0.445201,1.638419,0.616362,1.853182,1.206119,0.141508,0.107375,0.18796,1.27033,-0.058645,0.493926,0.066985,2.208409,0.0,0.044457,0.544749,0.533332,-0.087513,1.140745,1.937958,0.291233,0.052856,-0.154004,1.830791,-0.074538,1.125034,-0.068291,0.021213
train,ikan07,01,mata,0.183109,-0.031815,0.561428,0.006616,-0.045928,-0.017257,-0.055257,0.303327,-0.047515,0.452294,0.007368,0.123681,2.022804,0.165577,-0.033146,0.485115,0.036011,0.049075,-0.015804,2.063753,2.972032,0.60333,0.070963,0.385697,1.758817,0.794501,1.473113,1.200398,0.330188,0.040435,0.258194,0.694334,-0.029884,0.535921,0.047065,2.368663,0.0,0.119609,0.639493,0.510882,-0.055168,1.049629,1.437956,0.498059,-0.00633,-0.073904,1.41918,-0.052731,1.087945,-0.04869,0.184402
train,ikan07,01,mata,0.316894,-0.045412,0.650892,-0.052738,-0.05133,-0.084546,-0.050651,0.336663,-0.049122,0.673646,0.001973,0.139368,2.300207,0.069432,0.049499,0.123955,0.081553,-0.108507,-0.011562,2.226767,4.718044,0.533981,0.15256,0.427547,1.562526,0.606822,1.792134,1.060594,0.193517,0.081999,0.175795,0.796327,-0.071199,0.539604,0.120606,2.065492,0.0,0.032558,0.442042,0.526615,-0.092537,0.991807,1.967518,0.272511,0.086486,-0.113127,1.764462,-0.093368,0.976182,-0.04859,0.057749
train,ikan07,01,mata,0.294736,-0.021496,0.765085,0.464826,0.807282,1.084209,-0.054872,0.34194,-0.032851,0.704115,0.133941,0.16562,1.806199,0.060828,-0.048381,0.041538,0.010376,-0.010148,0.043285,2.445669,2.155493,0.807978,0.185286,0.349844,1.591968,0.429079,0.620195,2.096013,0.06687,-0.154365,0.115207,2.309543,0.233473,0.56748,0.29041,2.029058,0.189562,0.097707,0.573887,1.495087,-0.107137,0.650485,1.236824,0.25545,0.332658,-0.079518,1.567178,0.355704,1.53462,0.053192,-0.009448
train,ikan07,01,mata,0.171337,-0.004478,0.893615,0.431188,0.793808,0.866307,-0.024314,0.14619,-0.051236,0.523056,0.097803,0.325506,2.153851,0.024822,-0.004868,-0.01481,0.231664,-0.005248,0.073197,3.066107,1.702667,1.551597,0.264892,-0.015664,2.00014,0.324996,0.57073,2.521239,-0.027006,-0.173902,0.586706,1.980845,0.243149,0.985947,0.373546,2.664348,-0.007469,0.127353,0.73006,1.695785,-0.101764,0.816265,2.026517,0.399603,0.520424,0.147535,1.437837,-0.005035,1.563088,0.089804,0.159335
train,ikan07,17,mata,0.021156,-0.042996,0.215409,0.119247,-0.078389,-0.039538,0.041929,0.225741,-0.039554,0.052281,0.31666,0.087844,2.546755,-0.13465,-0.042434,-0.030096,-0.099291,-0.001265,-0.004654,2.016303,3.701769,0.241677,0.44564,0.0944,1.290751,-0.028652,0.823677,0.44312,0.174012,0.055272,-0.057787,0.201363,0.051871,0.241879,-0.042701,1.793677,-0.003681,0.117117,0.497336,0.752635,0.268331,0.477877,1.900676,0.278227,0.187211,0.040598,1.38229,-0.118804,0.83899,-0.057533,0.005497
train,ikan07,17,mata,0.077295,-0.039754,0.241014,0.363793,-0.088802,-0.018906,-0.011042,0.147722,-0.030405,0.45886,0.025829,0.273866,2.750584,0.004781,-0.049865,-0.057915,-0.010827,-0.053978,-0.015314,3.030948,3.901116,0.657995,0.490252,0.11224,2.110949,0.092341,1.239625,1.0528,0.138991,0.146902,0.121245,0.432204,0.066017,0.25403,0.014196,1.383911,0.002663,0.306398,0.106375,0.709584,0.076015,1.160261,2.114269,0.432683,0.138144,-0.020917,1.477029,-0.106665,1.202806,-0.09277,0.021026
train,ikan07,17,mata,-0.027739,-0.008191,0.24677,0.147954,-0.098566,-0.129698,-0.006768,0.167847,-0.025162,0.36675,0.096416,0.269463,2.835175,0.414643,-0.074905,0.001453,-0.015113,-0.090165,-0.013159,2.847875,4.39853,0.60033,0.327834,0.146478,2.340821,0.063334,1.260113,0.881158,0.205685,0.072142,0.267887,0.045574,0.040896,0.373603,0.119306,1.044898,0.0,0.232113,0.267546,0.459656,0.155152,0.890311,2.448539,0.671642,0.152354,-0.090614,1.490989,-0.130928,1.251742,-0.113295,0.13176
train,ikan07,17,mata,0.055542,-0.047859,0.32567,0.297945,-0.090877,-0.034044,-0.033746,0.107701,-0.032665,0.394392,0.038137,0.280355,2.774199,0.040415,-0.054447,-0.059781,0.006419,-0.083074,-0.014772,3.040509,4.253282,0.734626,0.311066,0.106216,2.129568,0.060318,1.135464,0.89287,0.178394,0.096305,0.155051,0.173476,0.070062,0.297643,0.038773,1.271131,0.0,0.332867,0.018578,0.624119,0.079317,1.039126,2.104558,0.442679,0.153425,-0.022482,1.367015,-0.098067,1.149998,-0.083692,0.020045
train,ikan07,17,mata,0.161034,-0.013035,0.176392,0.158727,1.104564,0.501261,-0.073174,-0.092558,-0.056917,0.324963,0.131864,0.303065,2.608786,-0.078977,-0.100053,0.073437,-0.112769,-0.036411,0.012463,3.667104,2.940369,1.185657,0.047745,-0.059724,1.316717,0.378497,0.621984,2.35061,0.071243,-0.150742,-0.014515,0.35535,0.095169,0.273979,-0.027603,1.591968,-0.006109,0.114241,0.067744,1.549379,-0.033993,1.118278,2.269126,0.424071,0.374299,0.272329,1.181143,-0.041867,1.196264,0.085857,0.204534
train,ikan07,17,mata,0.066368,-0.01794,0.627651,0.482577,0.89716,0.403113,-0.016306,-0.065943,-0.022962,0.324355,0.037104,0.040045,2.394994,-0.009924,-0.047126,-0.050736,-0.051525,-0.007452,0.006444,3.039752,2.666979,1.087696,0.306962,-0.17826,2.407339,0.081549,0.338321,2.149257,-0.029363,-0.230325,0.270845,0.490102,0.116489,0.473637,-0.040865,1.402595,0.148683,0.253929,0.469388,1.486513,-0.05943,0.510354,2.269866,0.374065,0.772628,0.165434,1.351646,-0.066641,1.183272,-0.000413,0.064509
train,ikan07,19,mata,0.021156,-0.042996,0.215409,0.119247,-0.078389,-0.039538,0.041929,0.225741,-0.039554,0.052281,0.31666,0.087844,2.546755,-0.13465,-0.042434,-0.030096,-0.099291,-0.001265,-0.004654,2.016303,3.701769,0.241677,0.44564,0.0944,1.290751,-0.028652,0.823677,0.44312,0.174012,0.055272,-0.057787,0.201363,0.051871,0.241879,-0.042701,1.793677,-0.003681,0.117117,0.497336,0.752635,0.268331,0.477877,1.900676,0.278227,0.187211,0.040598,1.38229,-0.118804,0.83899,-0.057533,0.005497
train,ikan07,19,mata,0.077295,-0.039754,0.241014,0.363793,-0.088802,-0.018906,-0.011042,0.147722,-0.030405,0.45886,0.025829,0.273866,2.750584,0.004781,-0.049865,-0.057915,-0.010827,-0.053978,-0.015314,3.030948,3.901116,0.657995,0.490252,0.11224,2.110949,0.092341,1.239625,1.0528,0.138991,0.146902,0.121245,0.432204,0.066017,0.25403,0.014196,1.383911,0.002663,0.306398,0.106375,0.709584,0.076015,1.160261,2.114269,0.432683,0.138144,-0.020917,1.477029,-0.106665,1.202806,-0.09277,0.021026
train,ikan07,19,mata,-0.027739,-0.008191,0.24677,0.147954,-0.098566,-0.129698,-0.006768,0.167847,-0.025162,0.36675,0.096416,0.269463,2.835175,0.414643,-0.074905,0.001453,-0.015113,-0.090165,-0.013159,2.847875,4.39853,0.60033,0.327834,0.146478,2.340821,0.063334,1.260113,0.881158,0.205685,0.072142,0.267887,0.045574,0.040896,0.373603,0.119306,1.044898,0.0,0.232113,0.267546,0.459656,0.155152,0.890311,2.448539,0.671642,0.152354,-0.090614,1.490989,-0.130928,1.251742,-0.113295,0.13176
train,ikan07,19,mata,0.055542,-0.047859,0.32567,0.297945,-0.090877,-0.034044,-0.033746,0.107701,-0.032665,0.394392,0.038137,0.280355,2.774199,0.040415,-0.054447,-0.059781,0.006419,-0.083074,-0.014772,3.040509,4.253282,0.734626,0.311066,0.106216,2.129568,0.060318,1.135464,0.89287,0.178394,0.096305,0.155051,0.173476,0.070062,0.297643,0.038773,1.271131,0.0,0.332867,0.018578,0.624119,0.079317,1.039126,2.104558,0.442679,0.153425,-0.022482,1.367015,-0.098067,1.149998,-0.083692,0.020045
train,ikan07,19,mata,0.161034,-0.013035,0.176392,0.158727,1.104564,0.501261,-0.073174,-0.092558,-0.056917,0.324963,0.131864,0.303065,2.608786,-0.078977,-0.100053,0.073437,-0.112769,-0.036411,0.012463,3.667104,2.940369,1.185657,0.047745,-0.059724,1.316717,0.378497,0.621984,2.35061,0.071243,-0.150742,-0.014515,0.35535,0.095169,0.273979,-0.027603,1.591968,-0.006109,0.114241,0.067744,1.549379,-0.033993,1.118278,2.269126,0.424071,0.374299,0.272329,1.181143,-0.041867,1.196264,0.085857,0.204534
train,ikan07,19,mata,0.066368,-0.01794,0.627651,0.482577,0.89716,0.403113,-0.016306,-0.065943,-0.022962,0.324355,0.037104,0.040045,2.394994,-0.009924,-0.047126,-0.050736,-0.051525,-0.007452,0.006444,3.039752,2.666979,1.087696,0.306962,-0.17826,2.407339,0.081549,0.338321,2.149257,-0.029363,-0.230325,0.270845,0.490102,0.116489,0.473637,-0.040865,1.402595,0.148683,0.253929,0.469388,1.486513,-0.05943,0.510354,2.269866,0.374065,0.772628,0.165434,1.351646,-0.066641,1.183272,-0.000413,0.064509
train,ikan07,21,mata,0.039455,0.129551,0.027371,0.01128,-0.096506,-0.125595,-0.024717,0.168404,-0.036173,0.439803,0.149042,-0.050749,2.105168,-0.126677,0.05372,0.229752,0.085716,-0.022586,-0.018461,2.135075,2.975051,0.007454,0.293115,0.233507,1.525594,0.211094,1.607446,0.519451,0.258653,0.025935,-0.108952,0.530844,0.033597,0.280152,0.205405,1.902238,0.0,0.189127,0.550514,0.482983,0.071562,0.2443,3.048779,0.379894,0.054187,-0.086053,1.827651,-0.091002,0.52726,-0.082682,0.013382
train,ikan07,21,mata,0.013468,-0.036919,0.458281,-0.036508,-0.096414,0.001981,-0.038985,0.328879,-0.029273,1.126958,0.088858,0.108251,2.627749,0.109252,0.061729,0.207521,0.276017,0.118513,-0.012199,3.037504,4.541291,0.43934,-0.066853,0.257447,2.220095,0.367,2.314239,0.711669,0.519613,-0.007017,0.009177,0.511161,-0.040155,0.148868,0.019081,1.232686,0.0,0.043413,0.665786,0.473063,-0.056538,0.65271,2.966671,0.928051,0.289895,-0.149737,2.026469,-0.049395,0.783867,-0.102,-0.002243
train,ikan07,21,mata,0.181893,-0.037845,0.537723,-0.103862,-0.107325,-0.037881,-0.018134,0.104212,-0.046397,0.979802,0.169281,0.145901,2.452579,0.155631,0.03612,0.072394,0.341444,0.096471,-0.014959,3.057657,4.847808,0.416497,-0.100245,0.166576,2.304179,0.348232,2.156462,0.873778,0.476776,-0.042569,-0.107364,0.541466,-0.049185,0.395859,0.09164,1.473256,0.0,0.19102,0.483621,0.385306,-0.074835,0.745154,2.753203,0.955838,0.310375,-0.165956,1.980019,-0.046466,0.633995,-0.083105,0.005103
train,ikan07,21,mata,0.082042,-0.038445,0.393652,-0.037799,-0.082387,0.003074,-0.027665,0.265348,-0.034811,1.011694,0.13797,0.111339,2.605324,0.127357,0.064394,0.132771,0.284249,0.110109,-0.012446,3.015425,4.842113,0.48362,-0.089756,0.227883,2.136754,0.286655,2.25145,0.574247,0.549598,-0.024808,-0.024855,0.497258,-0.059832,0.225518,0.049161,1.136724,0.0,0.110645,0.554243,0.427069,-0.01311,0.492256,3.045761,0.964268,0.255963,-0.146557,2.01184,-0.036361,0.766429,-0.093418,0.017485
train,ikan07,21,mata,0.162385,-0.012406,0.765357,0.037974,0.862206,0.581192,-0.039907,0.370453,-0.070284,1.275506,0.349678,-0.041673,2.766459,0.023464,-0.075394,-0.03,0.47141,-0.021602,0.002425,3.988834,4.065189,0.995097,-0.033297,0.396237,2.396258,0.424757,1.270315,1.80704,0.144086,-0.15256,0.026263,1.594929,0.004218,0.136592,0.671834,1.397306,0.0,0.043976,0.219733,1.354037,-0.067223,0.52889,2.148827,0.818807,0.303041,-0.050248,2.203703,0.188223,1.167003,-0.012562,0.14417
train,ikan07,21,mata,0.053543,-0.006665,1.12797,-0.025206,0.895036,0.178485,-0.021509,0.075673,-0.035265,1.270605,0.308591,0.156717,2.238428,0.170048,-0.079837,-0.097876,0.66634,0.086757,0.006964,3.156473,3.555873,1.134071,0.193447,-0.031202,1.896562,0.10796,1.161981,1.630865,0.173199,-0.120634,0.26348,0.783467,0.002335,0.485803,0.048936,1.010891,0.0,0.044442,0.491664,1.61342,-0.120506,0.291068,2.326986,0.725954,0.992489,-0.068241,1.849814,-0.010261,0.623995,0.026586,0.264624
train,ikan07,23,mata,0.039455,0.129551,0.027371,0.01128,-0.096506,-0.125595,-0.024717,0.168404,-0.036173,0.439803,0.149042,-0.050749,2.105168,-0.126677,0.05372,0.229752,0.085716,-0.022586,-0.018461,2.135075,2.975051,0.007454,0.293115,0.233507,1.525594,0.211094,1.607446,0.519451,0.258653,0.025935,-0.108952,0.530844,0.033597,0.280152,0.205405,1.902238,0.0,0.189127,0.550514,0.482983,0.071562,0.2443,3.048779,0.379894,0.054187,-0.086053,1.827651,-0.091002,0.52726,-0.082682,0.013382
train,ikan07,23,mata,0.013468,-0.036919,0.458281,-0.036508,-0.096414,0.001981,-0.038985,0.328879,-0.029273,1.126958,0.088858,0.108251,2.627749,0.109252,0.061729,0.207521,0.276017,0.118513,-0.012199,3.037504,4.541291,0.43934,-0.066853,0.257447,2.220095,0.367,2.314239,0.711669,0.519613,-0.007017,0.009177,0.511161,-0.040155,0.148868,0.019081,1.232686,0.0,0.043413,0.665786,0.473063,-0.056538,0.65271,2.966671,0.928051,0.289895,-0.149737,2.026469,-0.049395,0.783867,-0.102,-0.002243
train,ikan07,23,mata,0.181893,-0.037845,0.537723,-0.103862,-0.107325,-0.037881,-0.018134,0.104212,-0.046397,0.979802,0.169281,0.145901,2.452579,0.155631,0.03612,0.072394,0.341444,0.096471,-0.014959,3.057657,4.847808,0.416497,-0.100245,0.166576,2.304179,0.348232,2.156462,0.873778,0.476776,-0.042569,-0.107364,0.541466,-0.049185,0.395859,0.09164,1.473256,0.0,0.19102,0.483621,0.385306,-0.074835,0.745154,2.753203,0.955838,0.310375,-0.165956,1.980019,-0.046466,0.633995,-0.083105,0.005103
train,ikan07,23,mata,0.082042,-0.038445,0.393652,-0.037799,-0.082387,0.003074,-0.027665,0.265348,-0.034811,1.011694,0.13797,0.111339,2.605324,0.127357,0.064394,0.132771,0.284249,0.110109,-0.012446,3.015425,4.842113,0.48362,-0.089756,0.227883,2.136754,0.286655,2.25145,0.574247,0.549598,-0.024808,-0.024855,0.497258,-0.059832,0.225518,0.049161,1.136724,0.0,0.110645,0.554243,0.427069,-0.01311,0.492256,3.045761,0.964268,0.255963,-0.146557,2.01184,-0.036361,0.766429,-0.093418,0.017485
train,ikan07,23,mata,0.162385,-0.012406,0.765357,0.037974,0.862206,0.581192,-0.039907,0.370453,-0.070284,1.275506,0.349678,-0.041673,2.766459,0.023464,-0.075394,-0.03,0.47141,-0.021602,0.002425,3.988834,4.065189,0.995097,-0.033297,0.396237,2.396258,0.424757,1.270315,1.80704,0.144086,-0.15256,0.026263,1.594929,0.004218,0.136592,0.671834,1.397306,0.0,0.043976,0.219733,1.354037,-0.067223,0.52889,2.148827,0.818807,0.303041,-0.050248,2.203703,0.188223,1.167003,-0.012562,0.14417
train,ikan07,23,mata,0.053543,-0.006665,1.12797,-0.025206,0.895036,0.178485,-0.021509,0.075673,-0.035265,1.270605,0.308591,0.156717,2.238428,0.170048,-0.079837,-0.097876,0.66634,0.086757,0.006964,3.156473,3.555873,1.134071,0.193447,-0.031202,1.896562,0.10796,1.161981,1.630865,0.173199,-0.120634,0.26348,0.783467,0.002335,0.485803,0.048936,1.010891,0.0,0.044442,0.491664,1.61342,-0.120506,0.291068,2.326986,0.725954,0.992489,-0.068241,1.849814,-0.010261,0.623995,0.026586,0.264624
